Summary Levels for 5-Year ACS Data Products,,,,,,,,
"Summary
Level
 Code","Geographic Component
 Code",Summary Level Description,Detailed Tables,"Data
Profiles","Comparison 
Profiles",Subject Tables for Subpopulation Groups,"Subject
Tables for Specific Topics",Replicate Weight Detailed Tables
010,00,United States,Ö,Ö,Ö,Ö,Ö,Ö
010,01,United States; Urban,Ö,Ö,,,Ö,
010,43,United States; Rural,Ö,Ö,,,Ö,
010,A0,United States; In Metropolitan or Micropolitan Statistical Area,Ö,Ö,,,Ö,
010,G0,United States; Not In Metropolitan or Micropolitan Statistical Area,Ö,Ö,,,Ö,
010,C0,United States; In Metropolitan Statistical Area,Ö,Ö,,,Ö,
010,C1,United States; In Metropolitan Statistical Area-In Principal City,Ö,Ö,,,Ö,
010,C2,United States; In Metropolitan Statistical Area-Not In Principal City,Ö,Ö,,,Ö,
010,H0,United States; Not In Metropolitan Statistical Area,Ö,Ö,,,Ö,
010,E0,United States; In Micropolitan Statistical Area,Ö,Ö,,,Ö,
010,E1,United States; In Micropolitan Statistical Area-In Principal City,Ö,Ö,,,Ö,
010,E2,United States; In Micropolitan Statistical Area-Not In Principal City,Ö,Ö,,,Ö,
010,89,United States; American Indian Reservation and Trust Land-Federal,Ö,Ö,,,Ö,
010,90,United States; American Indian Reservation and Trust Land-State,Ö,Ö,,,Ö,
010,91,United States; Oklahoma Tribal Statistical Area,Ö,Ö,,,Ö,
010,92,United States; Tribal Designated Statistical Area,Ö,Ö,,,Ö,
010,93,United States; Alaska Native Village Statistical Area,Ö,Ö,,,Ö,
010,94,United States; State Designated Tribal Statistical Area (Formerly SDAISA),Ö,Ö,,,Ö,
010,95,United States; Hawaiian Home Land,Ö,Ö,,,Ö,
020,00,Region,Ö,Ö,,Ö,Ö,
020,01,Region; Urban,Ö,Ö,,,Ö,
020,43,Region; Rural,Ö,Ö,,,Ö,
020,A0,Region; In Metropolitan or Micropolitan Statistical Area,Ö,Ö,,,Ö,
020,G0,Region; Not In Metropolitan or Micropolitan Statistical Area,Ö,Ö,,,Ö,
020,C0,Region; In Metropolitan Statistical Area,Ö,Ö,,,Ö,
020,C1,Region; In Metropolitan Statistical Area-In Principal City,Ö,Ö,,,Ö,
020,C2,Region; In Metropolitan Statistical Area-Not In Principal City,Ö,Ö,,,Ö,
020,H0,Region; Not In Metropolitan Statistical Area,Ö,Ö,,,Ö,
020,E0,Region; In Micropolitan Statistical Area,Ö,Ö,,,Ö,
020,E1,Region; In Micropolitan Statistical Area-In Principal City,Ö,Ö,,,Ö,
020,E2,Region; In Micropolitan Statistical Area-Not In Principal City,Ö,Ö,,,Ö,
030,00,Division,Ö,Ö,,Ö,Ö,
030,01,Division; Urban,Ö,Ö,,,Ö,
030,43,Division; Rural,Ö,Ö,,,Ö,
030,A0,Division; In Metropolitan or Micropolitan Statistical Area,Ö,Ö,,,Ö,
030,G0,Division; Not In Metropolitan or Micropolitan Statistical Area,Ö,Ö,,,Ö,
030,C0,Division; In Metropolitan Statistical Area,Ö,Ö,,,Ö,
030,C1,Division; In Metropolitan Statistical Area-In Principal City,Ö,Ö,,,Ö,
030,C2,Division; In Metropolitan Statistical Area-Not In Principal City,Ö,Ö,,,Ö,
030,H0,Division; Not In Metropolitan Statistical Area,Ö,Ö,,,Ö,
030,E0,Division; In Micropolitan Statistical Area,Ö,Ö,,,Ö,
