bg_geoid,municipio,building_count,osm_pv_count,detected_pv_count,overlap_count,total_detected_area_deg2,detected_pv_rate,annual_flux_mean_kwh_per_kw_yr,flux_pixel_count,median_household_income_usd,total_housing_units,tenure_total,tenure_owner_occupied,tenure_renter_occupied,race_total,nh_white_alone,nh_black_alone,nh_aian_alone,nh_asian_alone,nh_nhpi_alone,nh_other_alone,nh_two_or_more,hispanic_or_latino,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,pct_owner_occupied,pct_bachelor_plus,diversity_index,urban_block_count,total_urban_pop,total_urban_housing_units,urban_land_area_m2,pct_urban_pop,pct_urban_population,pct_urban_housing_units,pct_urban_land_area,is_urban
720714101001,Isabela,2268,0,178,0,1.6701352397548602e-06,0.07848324514991181,1569.3207513731184,108936,23989.0,1067,772,510,262,2378,0,0,0,0,0,0,0,2378,1927,161,16,0,0,0.6606217616580311,0.09185262065386611,0.0,12,2269.0,991.0,6872327.0,1.9991189427312774,1.9991189427312774,1.2325870646766168,0.7113068814010174,true
720714101002,Isabela,1136,0,55,0,3.4784929553914914e-07,0.04841549295774648,,0,33235.0,532,456,225,231,1109,0,0,0,0,0,0,0,1109,951,301,41,0,0,0.4934210526315789,0.35962145110410093,0.0,14,1201.0,602.0,4255918.0,0.7798701298701298,0.7798701298701298,1.034364261168385,1.0,true
720714101003,Isabela,2016,11,220,4,2.044530367113986e-06,0.10912698412698413,1589.5477714030428,4201785,41515.0,1116,800,621,179,2386,0,0,0,0,0,0,0,2386,1800,509,65,17,0,0.77625,0.3283333333333333,0.0,12,2215.0,1012.0,6426971.0,0.8393330807123911,0.8393330807123911,0.856175972927242,0.988671529900334,true
720714102001,Isabela,930,7,70,3,4.5566553702237206e-07,0.07526881720430108,1663.9596821894254,11118,21316.0,817,522,413,109,1562,26,37,0,0,0,0,0,1499,1412,269,31,0,0,0.7911877394636015,0.21246458923512748,0.07820090136910385,16,1140.0,716.0,1153690.0,0.9306122448979591,0.9306122448979591,0.839390386869871,1.0,true
720714102002,Isabela,1253,0,98,0,9.890138927972846e-07,0.0782122905027933,1581.1198194764556,1918264,25755.0,693,473,273,200,1399,0,0,0,0,0,0,0,1399,1090,418,21,0,0,0.5771670190274841,0.40275229357798165,0.0,11,1448.0,687.0,1099736.0,0.8522660388463802,0.8522660388463802,0.9828326180257511,1.0,true
720714103001,Isabela,431,4,37,1,5.373208831605052e-07,0.08584686774941995,1695.5975112296871,120581,15592.0,449,329,194,135,974,12,0,0,0,0,0,0,962,755,134,31,12,0,0.5896656534954408,0.23443708609271524,0.024337076093418508,13,644.0,364.0,260247.0,0.7007616974972797,0.7007616974972797,0.8666666666666667,1.0,true
720714103002,Isabela,711,22,70,8,6.002896598976106e-07,0.09845288326300984,1647.1266633577761,322051,36118.0,565,331,242,89,765,61,0,0,0,0,0,0,704,553,145,13,35,14,0.7311178247734139,0.3743218806509946,0.14676064761416563,14,1079.0,591.0,939633.0,1.110082304526749,1.110082304526749,0.9036697247706422,0.4389364433382663,true
720714103003,Isabela,572,26,42,6,1.8707181732303994e-07,0.07342657342657342,1621.2555822046552,579534,20921.0,613,404,239,165,900,0,0,0,0,0,0,0,900,781,134,20,0,0,0.5915841584158416,0.19718309859154928,0.0,26,623.0,499.0,229272.0,0.875,0.875,0.9007220216606499,1.0,true
720714104011,Isabela,1990,0,222,0,3.213120266987089e-06,0.11155778894472362,1555.3129161757,261273,21974.0,908,556,413,143,1767,21,0,0,0,0,0,0,1746,1435,472,87,5,46,0.7428057553956835,0.4250871080139373,0.023486615108338826,18,1787.0,945.0,5151622.0,0.8017048003589053,0.8017048003589053,0.8923512747875354,1.0,true
720714104012,Isabela,1821,0,183,0,1.969170773182847e-06,0.10049423393739704,,0,19150.0,939,500,257,243,1326,42,0,0,0,0,0,0,1284,1198,203,59,0,0,0.514,0.21869782971619364,0.06134190536639306,20,1715.0,1039.0,5043236.0,1.0806553245116572,1.0806553245116572,1.0307539682539681,1.0,true
