tract_geoid,municipio,building_count,occupied_h3_cell_count,nsrdb_site_count,osm_pv_count,detected_pv_count,any_pv_signal_count,overlap_count,total_detected_area_deg2,osm_pv_rate,osm_labeled_buildings_per_1000,detected_pv_rate,detected_pv_buildings_per_1000,any_pv_signal_rate,any_pv_evidence_buildings_per_1000,nsrdb_multiyear_ghi_mean,nsrdb_multiyear_dni_mean,nsrdb_multiyear_dhi_mean,nsrdb_multiyear_air_temperature_mean,acs_vintage,median_household_income_usd,total_housing_units,tenure_total,tenure_owner_occupied,tenure_renter_occupied,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,language_population_5plus,spanish_speaking_18_64,spanish_english_well_18_64,spanish_english_not_well_18_64,spanish_english_not_at_all_18_64,pct_owner_occupied,pct_bachelor_plus,pct_spanish_speaking_18_64,pct_spanish_english_well_18_64,pct_spanish_english_not_well_18_64,pct_spanish_english_not_at_all_18_64,cdc_svi_2020_location,cdc_svi_2020_overall_percentile,urban_block_count,total_urban_pop,total_urban_housing_units,urban_land_area_m2,pct_urban_pop,pct_urban_population,pct_urban_housing_units,pct_urban_land_area,is_urban
72071410100,Isabela,5420,709,7,11,134,142,3,1.0844675251882706e-06,0.002029520295202952,2.029520295202952,0.024723247232472326,24.723247232472325,0.026199261992619925,26.199261992619927,240.49314628107743,259.7049158467239,66.40269242180865,27.748615693046766,2024,29157.0,2715,2028,1356,672,4678,971,122,17,0,5832,3248,805,849,1148,0.6686390532544378,0.23728088926891835,0.5569272976680384,0.2478448275862069,0.26139162561576357,0.35344827586206895,"Census Tract 4101, Isabela Municipio, Puerto Rico",60.74,38,5685.0,2605.0,17555216.0,1.0698155814828754,1.0698155814828754,1.0144080996884735,0.8597877538050711,true
72071410200,Isabela,2183,167,2,7,52,58,1,4.093228156602845e-07,0.00320659642693541,3.20659642693541,0.023820430600091615,23.820430600091616,0.02656894182317911,26.568941823179113,241.3641363410612,260.8634384543903,65.81392304860755,27.991630650122136,2024,23924.0,1510,995,686,309,2502,687,52,0,0,2911,1743,526,160,654,0.6894472361809045,0.29536370903277376,0.5987633115767778,0.3017785427423982,0.09179575444635686,0.37521514629948366,"Census Tract 4102, Isabela Municipio, Puerto Rico",58.68,27,2588.0,1403.0,2253426.0,0.8850889192886456,0.8850889192886456,0.9039948453608248,1.0,true
72071410300,Isabela,1714,117,3,52,69,109,12,4.6857367009846286e-07,0.030338389731621937,30.338389731621938,0.040256709451575265,40.25670945157526,0.06359393232205368,63.593932322053675,242.2557655362713,261.40776128826076,66.41491692541375,27.932805415432433,2024,18828.0,1627,1064,675,389,2089,413,64,47,14,2639,1508,338,419,448,0.6343984962406015,0.2575394925801819,0.5714285714285714,0.22413793103448276,0.27785145888594165,0.29708222811671087,"Census Tract 4103, Isabela Municipio, Puerto Rico",50.870000000000005,53,2346.0,1454.0,1429152.0,0.9012677679600462,0.9012677679600462,0.8931203931203932,0.5433577305042196,true
72071410401,Isabela,3811,529,3,0,177,177,0,1.3560209361858555e-06,0.0,0.0,0.04644450275518237,46.44450275518237,0.04644450275518237,46.44450275518237,243.56890602582178,264.7133483168147,65.50561485272794,27.874213025401335,2024,19900.0,1847,1056,670,386,2633,675,146,5,46,2944,1614,391,347,404,0.634469696969697,0.3311811621724269,0.548233695652174,0.24225526641883519,0.21499380421313508,0.2503097893432466,"Census Tract 4104.01, Isabela Municipio, Puerto Rico",83.95,38,3502.0,1984.0,10194858.0,0.9177148846960168,0.9177148846960168,0.9598451862602806,1.0,true
72071410403,Isabela,4811,574,7,24,252,274,2,1.4697437302222793e-06,0.004988567865308668,4.988567865308668,0.05237996258574101,52.37996258574101,0.05695281646227396,56.95281646227396,242.1675150105629,261.7851543614592,66.29605093864582,27.799579686877472,2024,21000.0,2310,1596,1085,511,3778,461,114,121,0,5108,3299,1014,967,997,0.6798245614035088,0.1842244573848597,0.6458496476115897,0.3073658684449833,0.2931191270081843,0.3022127917550773,"Census Tract 4104.03, Isabela Municipio, Puerto Rico",34.06,47,4875.0,2302.0,11692566.0,0.9149774774774775,0.9149774774774775,0.9750105887335875,1.0,true
72071410404,Isabela,2324,234,5,4,75,78,1,4.6357330219022955e-07,0.0017211703958691911,1.721170395869191,0.032271944922547334,32.271944922547334,0.03356282271944923,33.56282271944922,240.7087945561744,258.8240910236899,67.1916304062854,27.693106906374798,2024,19487.0,1326,921,648,273,2205,289,42,0,0,2880,1910,346,571,871,0.7035830618892508,0.15011337868480726,0.6631944444444444,0.181151832460733,0.29895287958115185,0.456020942408377,"Census Tract 4104.04, Isabela Municipio, Puerto Rico",32.21,18,2868.0,1306.0,3077807.0,1.1181286549707603,1.1181286549707603,1.1671134941912422,1.0,true
72071410500,Isabela,4267,438,5,433,174,469,138,1.3844604559538595e-06,0.10147644715256621,101.47644715256621,0.040778064213733305,40.7780642137333,0.1099132880243731,109.9132880243731,241.1833197879994,260.0564892870319,66.5549463525728,27.814323590528154,2024,24693.0,2999,2283,1467,816,4596,1168,285,17,0,6188,4094,1719,475,604,0.6425755584756899,0.3198433420365535,0.6616031027795733,0.4198827552515877,0.11602344894968246,0.14753297508549096,"Census Tract 4105, Isabela Municipio, Puerto Rico",34.38,56,5849.0,2854.0,6836441.0,0.9893437077131259,0.9893437077131259,1.079017013232514,1.0,true
72071410600,Isabela,5188,957,13,0,114,114,0,6.019459455325586e-07,0.0,0.0,0.02197378565921357,21.97378565921357,0.02197378565921357,21.97378565921357,230.59725828996645,243.41980971853266,69.5606827384706,27.030192778409052,2024,17273.0,2621,1646,1044,602,3080,479,158,16,0,4115,2007,360,521,894,0.6342648845686513,0.21201298701298701,0.48772782503037665,0.17937219730941703,0.25959142999501744,0.445440956651719,"Census Tract 4106, Isabela Municipio, Puerto Rico",49.669999999999995,41,4419.0,2204.0,15986197.0,1.0378111789572568,1.0378111789572568,0.9047619047619048,0.331089288353822,true
72071410701,Isabela,2289,252,3,0,60,60,0,3.7940632380507547e-07,0.0,0.0,0.02621231979030144,26.212319790301443,0.02621231979030144,26.212319790301443,234.90513515886565,247.10122976015958,70.31068799747084,27.37302832393608,2024,18254.0,1304,854,587,267,1775,285,22,0,0,2235,1297,176,279,515,0.6873536299765808,0.17295774647887324,0.5803131991051454,0.13569776407093292,0.2151117964533539,0.39707016191210487,"Census Tract 4107.01, Isabela Municipio, Puerto Rico",73.21,29,2365.0,1134.0,3524030.0,0.9825508932280848,0.9825508932280848,0.9418604651162791,0.7401424741130862,true
72071410703,Isabela,3585,534,10,0,160,160,0,9.73395905146385e-07,0.0,0.0,0.044630404463040445,44.63040446304045,0.044630404463040445,44.63040446304045,232.09368135520512,243.6128969881797,70.5248751909247,27.221082499294305,2024,21175.0,2000,1356,841,515,2758,434,330,0,22,3745,2134,400,475,890,0.6202064896755162,0.2849891225525743,0.5698264352469959,0.18744142455482662,0.2225866916588566,0.41705716963448924,"Census Tract 4107.03, Isabela Municipio, Puerto Rico",22.45,17,2576.0,1153.0,3998641.0,0.8126182965299684,0.8126182965299684,0.7940771349862259,0.15040326853125038,true
72071410704,Isabela,3329,395,6,0,100,100,0,6.141501019600122e-07,0.0,0.0,0.030039050765995796,30.039050765995796,0.030039050765995796,30.039050765995796,235.11507356287987,249.89939082154896,68.90665776496398,27.38043637114605,2024,27706.0,1573,1127,856,271,2499,230,85,0,2,3039,2268,459,348,1001,0.7595385980479148,0.12685074029611845,0.7462981243830207,0.20238095238095238,0.15343915343915343,0.44135802469135804,"Census Tract 4107.04, Isabela Municipio, Puerto Rico",76.46,34,3540.0,1662.0,6521380.0,1.270182992465016,1.270182992465016,1.2543396226415093,1.0,true
