metric,metric_slug,metric_label,municipio,weights,n_tracts,island_count,min_neighbors,max_neighbors,mean_neighbors,morans_I,expected_I,p_sim,z_sim,permutations
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",Isabela,queen,11,0,2,7,4.0,-0.08950362729386845,-0.1,0.428,0.060063051105117,999
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",San Juan,queen,137,0,1,13,5.489051094890511,0.4101817791598392,-0.007352941176470588,0.001,8.070244936133033,999
median_household_income_usd,income,ACS median household income (USD),Isabela,queen,11,0,2,7,4.0,0.014598581009020688,-0.1,0.254,0.6304731639644489,999
median_household_income_usd,income,ACS median household income (USD),San Juan,queen,127,0,1,12,5.3858267716535435,0.37836788793201764,-0.007936507936507936,0.001,6.988748161599719,999
pct_bachelor_plus,education,Share age 25+ with Bachelor's or higher,Isabela,queen,11,0,2,7,4.0,-0.06436034019167529,-0.1,0.377,0.18723861916596723,999
pct_bachelor_plus,education,Share age 25+ with Bachelor's or higher,San Juan,queen,127,0,1,12,5.3858267716535435,0.5839797457926075,-0.007936507936507936,0.001,10.40757690649578,999
pct_spanish_english_well_18_64,english_well,Share of Spanish-speaking adults 18-64 who speak English well,Isabela,queen,11,0,2,7,4.0,0.021688495709977187,-0.1,0.22,0.753089241996157,999
pct_spanish_english_well_18_64,english_well,Share of Spanish-speaking adults 18-64 who speak English well,San Juan,queen,127,0,1,12,5.3858267716535435,0.3541497971935242,-0.007936507936507936,0.001,6.422932527454669,999
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),Isabela,queen,11,0,2,7,4.0,-0.2676833621040846,-0.1,0.171,-0.9469443617165291,999
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),San Juan,queen,130,0,2,12,5.446153846153846,0.4822175348360699,-0.007751937984496124,0.001,8.696217262084314,999
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),Isabela,queen,11,0,2,7,4.0,0.5441791622085052,-0.1,0.001,3.5574690706030907,999
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),San Juan,queen,137,0,1,13,5.489051094890511,0.9514137871031052,-0.007352941176470588,0.001,18.535651594109773,999
