metric,metric_slug,metric_label,municipio,lisa_cluster,lisa_cluster_label,tract_count,valid_tract_count,pct_of_valid_tracts
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",San Juan,high_high,High-High (hot spot),20,137,14.598540145985401
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",San Juan,low_low,Low-Low (cold spot),25,137,18.248175182481752
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",San Juan,high_low,High-Low (high outlier),2,137,1.4598540145985401
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",San Juan,low_high,Low-High (low outlier),3,137,2.18978102189781
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",San Juan,not_significant,Not significant,87,137,63.503649635036496
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",Isabela,high_high,High-High (hot spot),2,11,18.181818181818183
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",Isabela,low_low,Low-Low (cold spot),0,11,0.0
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",Isabela,high_low,High-Low (high outlier),1,11,9.090909090909092
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",Isabela,low_high,Low-High (low outlier),0,11,0.0
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",Isabela,not_significant,Not significant,8,11,72.72727272727273
median_household_income_usd,income,ACS median household income (USD),San Juan,high_high,High-High (hot spot),18,127,14.173228346456693
median_household_income_usd,income,ACS median household income (USD),San Juan,low_low,Low-Low (cold spot),19,127,14.960629921259843
median_household_income_usd,income,ACS median household income (USD),San Juan,high_low,High-Low (high outlier),1,127,0.7874015748031497
median_household_income_usd,income,ACS median household income (USD),San Juan,low_high,Low-High (low outlier),4,127,3.1496062992125986
median_household_income_usd,income,ACS median household income (USD),San Juan,not_significant,Not significant,85,127,66.92913385826772
median_household_income_usd,income,ACS median household income (USD),Isabela,high_high,High-High (hot spot),1,11,9.090909090909092
median_household_income_usd,income,ACS median household income (USD),Isabela,low_low,Low-Low (cold spot),0,11,0.0
median_household_income_usd,income,ACS median household income (USD),Isabela,high_low,High-Low (high outlier),0,11,0.0
